task,method,variant_id,lm_window_length,metric,score,graph_density,density_basis,sampled_sentences,distinct_partitions,total_partitions,total_edges,average_sentence_partitions,average_distinct_ngrams_per_sentence,included_in_plot,metric_status,corpus_filename,resolved_corpus_file
analogy,lm-syllable,v3,2,accuracy,0.00207795930066,0.116405943295,task partition corpus,10000,14694,328532,12565960,32.8532,30.031,True,current,resources/text//intrinsic/1312392295.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/1312392295.txt
analogy,lm-syllable,v4,3,accuracy,7.16537689882e-05,0.0127224213245,task partition corpus,10000,25329,186622,4080926,18.6622,17.5524,True,current,resources/text//intrinsic/1312393380.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/1312393380.txt
analogy,lm-syllable,v5,3,accuracy,0.000788191458871,0.0822522989353,task partition corpus,10000,15897,298789,10392525,29.8789,27.6347,True,current,resources/text//intrinsic/1312394066.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/1312394066.txt
analogy,lm-syllable,v6,3,accuracy,0.00207795930066,0.115529386077,task partition corpus,10000,14750,328543,12566579,32.8543,30.0379,True,current,resources/text//intrinsic/1312394752.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/1312394752.txt
analogy,lm-syllable,v7,4,accuracy,0,0.0127224213245,task partition corpus,10000,25329,186622,4080926,18.6622,17.5524,True,current,resources/text//intrinsic/1312395837.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/1312395837.txt
analogy,lm-syllable,v8,4,accuracy,0.00100315276584,0.0823151774326,task partition corpus,10000,15891,298790,10392620,29.879,27.6338,True,current,resources/text//intrinsic/1312396523.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/1312396523.txt
analogy,lm-syllable,v9,4,accuracy,0.00186299799369,0.115738059721,task partition corpus,10000,14737,328549,12567095,32.8549,30.0383,True,current,resources/text//intrinsic/1312397209.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/1312397209.txt
analogy,lm-word,v1,10,accuracy,0.000143307537976,0.0111036303246,task partition corpus,10000,31784,213901,5608393,21.3901,19.7765,True,current,resources/text//intrinsic/249640291.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249640291.txt
morphology,frequent-ngram,v1,2,f_score,0.345762,0.00576119814438,mean reference-corpus density for the same LM variant,,,,,17.714075,16.6289,True,current,resources/evaluation/morphology,
morphology,frequent-ngram,v2,2,f_score,0.345762,0.00576119814438,mean reference-corpus density for the same LM variant,,,,,17.714075,16.6289,True,current,resources/evaluation/morphology,
