task,method,variant_id,lm_window_length,metric,score,average_distinct_ngrams_per_sentence,sampled_sentences,included_in_plot,metric_status,corpus_filename,resolved_corpus_file
pos,lm-lemma,v20,3,f_score,0.625807333129,20.3724,10000,True,current,resources/text//pos/934734674.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/934734674.txt
pos,lm-lemma,v21,3,f_score,0.622749591213,20.3724,10000,True,current,resources/text//pos/-1782897280.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-1782897280.txt
pos,lm-lemma,v22,3,f_score,0.631395523924,20.3724,10000,True,current,resources/text//pos/-1450759249.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-1450759249.txt
pos,lm-lemma,v23,3,f_score,0.630219428366,20.3724,10000,True,current,resources/text//pos/1986555144.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/1986555144.txt
pos,lm-lemma,v24,3,f_score,0.623449717906,20.3724,10000,True,current,resources/text//pos/1659824978.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/1659824978.txt
pos,lm-lemma,v25,3,f_score,0.621703352085,20.3724,10000,True,current,resources/text//pos/-1189403264.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-1189403264.txt
pos,lm-lemma,v26,3,f_score,0.630274540679,20.3724,10000,True,current,resources/text//pos/-857265233.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-857265233.txt
pos,lm-lemma,v27,3,f_score,0.623565057377,20.3724,10000,True,current,resources/text//pos/-1714918136.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-1714918136.txt
pos,lm-lemma,v28,3,f_score,0.629393979201,20.3724,10000,True,current,resources/text//pos/-2041648302.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-2041648302.txt
pos,lm-rank,v1,2,f_score,0.625917297739,25.2994,10000,True,current,resources/text//pos/249431159.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/249431159.txt
pos,lm-rank,v2,2,f_score,0.558885953104,28.058,10000,True,current,resources/text//pos/249431845.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/249431845.txt
pos,lm-rank,v3,2,f_score,0.580311941796,28.1005,10000,True,current,resources/text//pos/249432531.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/249432531.txt
pos,lm-rank,v4,3,f_score,0.620503946055,25.6399,10000,True,current,resources/text//pos/249433616.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/249433616.txt
pos,lm-rank,v5,3,f_score,0.576451657846,28.7444,10000,True,current,resources/text//pos/249434302.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/249434302.txt
pos,lm-rank,v6,3,f_score,0.563856108797,28.7298,10000,True,current,resources/text//pos/249434988.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/249434988.txt
pos,lm-rank,v7,4,f_score,0.610426200989,25.6399,10000,True,current,resources/text//pos/249436073.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/249436073.txt
pos,lm-rank,v8,4,f_score,0.58628246785,28.779,10000,True,current,resources/text//pos/249436759.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/249436759.txt
pos,lm-rank,v9,4,f_score,0.572337337413,28.4137,10000,True,current,resources/text//pos/249437445.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/249437445.txt
pos,lm-rank,v10,3,f_score,0.549461340394,25.6399,10000,True,current,resources/text//pos/-437643492.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-437643492.txt
pos,lm-rank,v11,3,f_score,0.555681385536,25.4903,10000,True,current,resources/text//pos/-105505461.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-105505461.txt
pos,lm-rank,v12,3,f_score,0.566907891418,25.5454,10000,True,current,resources/text//pos/-963158364.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-963158364.txt
pos,lm-rank,v13,3,f_score,0.537113461547,25.5235,10000,True,current,resources/text//pos/-1289888530.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-1289888530.txt
pos,lm-rank,v14,3,f_score,0.57751722434,28.7801,10000,True,current,resources/text//pos/-1711814143.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-1711814143.txt
pos,lm-rank,v15,3,f_score,0.585043817592,28.6988,10000,True,current,resources/text//pos/-1379676112.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-1379676112.txt
pos,lm-rank,v16,3,f_score,0.591719585683,28.7209,10000,True,current,resources/text//pos/2057638281.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/2057638281.txt
pos,lm-rank,v17,3,f_score,0.593328278128,28.7244,10000,True,current,resources/text//pos/1730908115.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/1730908115.txt
pos,lm-rank,v18,3,f_score,0.571600883763,28.7253,10000,True,current,resources/text//pos/-533848757.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/pos/-533848757.txt
